id;tipoResiduo;direccion;longitud;latitud;nivelLlenado;alerta;fecha
1524811;envases;Jacometrezo 1;-3.70621523094875;40.4201110817377;0;;2021-08-02T05:27:02.000+0200
1524814;resto;Plaza Mayor 3;-3.70735519959534;40.4150274033313;2;;2021-08-02T05:31:15.000+0200
1524815;resto;Pavía N°2 Al Final De La Calle;-3.71163387502442;40.4194030887618;2;;2021-08-02T06:34:54.000+0200
1524816;resto;Mayor 51;-3.7094172570997;40.4155448783353;2;;2021-08-02T02:29:07.000+0200
1524821;resto;Plaza De Las Provincias 7;-3.70605059078531;40.4150014108583;2;;2021-08-02T05:36:19.000+0200
1524812;envases;Alcalá 18;-3.69931426174956;40.4177648166;0;;2021-08-02T06:18:00.000+0200
1524820;resto;Plaza De Jacinto Benanvente;-3.703987;40.414434;4;;2021-08-02T05:57:04.000+0200
1524818;resto;Plaza De Armería Entre Palacio Y Catedral;-3.71496900574479;40.4165660394139;0;;2021-08-01T20:05:32.000+0200
1524824;resto;Bravo Murillo Esq. Marques De Viana;-3.69850850595192;40.4608309579029;2;;2021-08-02T05:42:06.000+0200
1524826;resto;Sevilla 3 CV Plaza Canalejas;-3.70042109836241;40.4168078427194;4;;2021-08-02T05:52:49.000+0200
1524822;resto;Alcalá 18;-3.6993261665394;40.417760453734;4;;2021-08-02T05:52:46.000+0200
1524828;resto;Glorieta De Bilbao N°7 CV Fuencarral;-3.70208095412633;40.4287932422792;0;;2021-08-02T05:22:48.000+0200
1524827;resto;Plaza Ana Diosdado (Teatro);-3.70068726053033;40.4082449469017;6;;2021-08-02T06:45:42.000+0200
1524817;resto;Arenal 20 CV Bordadores;-3.707247;40.41748;0;;2021-08-02T06:27:16.000+0200
1524819;envases;Marques Viudo de Pontejos FTE.1 CV Plaza Marques De Pontejos;-3.70447030483115;40.4157520155949;0;;2021-08-02T06:29:18.000+0200
1524823;envases;Plaza Cibeles;-3.69348583737984;40.4187899895189;2;;2021-08-02T05:42:02.000+0200
1524831;envases;Paseo Infanta Isabel 13 Boca De Metro (Frente Hotel Only You);-3.68821237156725;40.4070441717591;0;;2021-08-02T06:16:37.000+0200
1524829;resto;Mercado San Miguel (Frente Wonder Tours);-3.70913239413643;40.4154701301003;0;;2021-08-02T05:28:49.000+0200
1524830;resto;Carmen 1;-3.70365276686124;40.4173062566573;0;;2021-08-02T06:00:31.000+0200
